id,yes,no
"578",0,1
"579",0,0
"580",0,0
"581",0,0
"582",1,0
"583",0,0
"584",1,0
"585",1,0
"587",4,1
"588",0,0
"589",1,4
"590",0,0
"591",2,1
"592",0,0
"593",1,0
"594",2,1
"595",2,0
"596",0,0
"597",1,0
"598",5,2
"599",1,0
"600",0,0
"601",0,1
"602",0,1
"603",0,0
"604",2,0
"605",1,0
"606",2,1
"607",0,0
"608",1,0
"609",0,0
"610",1,1
"611",6,0
"612",2,0
"613",1,1
"614",1,1
"615",0,0
"616",0,0
"617",0,0
"618",0,2
"619",0,0
"61",50,45
"620",1,2
"621",1,0
"622",0,0
"623",0,0
"624",0,0
"625",1,1
"626",0,0
"627",1,0
"628",0,0
"629",1,0
"62",16,28
"630",0,3
"631",3,0
"632",0,0
"633",1,0
"634",0,0
"635",1,1
"636",2,2
"637",1,1
"638",0,0
"639",1,2
"63",9,26
"640",0,0
"641",0,1
"642",2,5
"643",2,1
"644",0,3
"645",0,1
"646",1,0
"648",0,0
"649",0,0
"64",20,18
"650",0,0
"651",2,0
"652",0,0
"653",0,0
"654",0,0
"655",0,0
"656",0,1
"657",2,2
"658",0,1
"659",0,0
"65",12,9
"660",1,0
"661",1,2
"662",1,0
"663",1,0
"664",1,0
"665",0,0
"666",0,1
"667",0,1
"668",1,2
"669",2,0
"66",13,10
"670",0,2
"671",0,0
"672",5,1
"673",28,11
"674",0,0
"675",0,0
"676",0,0
"677",0,0
"678",0,0
"679",0,1
"67",18,36
"680",1,1
"681",1,2
"682",0,0
"683",0,0
"684",1,0
"685",0,0
"686",1,0
"687",0,0
"688",1,0
"689",2,0
"68",5,20
"690",0,0
"691",1,0
"693",1,1
"694",0,0
"695",0,2
"696",0,2
"697",0,0
"698",1,1
"699",0,0
"69",42,90
"700",0,0
"701",0,1
"702",0,0
"703",1,0
"704",0,0
"705",0,1
"706",1,1
"707",0,0
"708",2,1
"709",2,0
"70",20,20
"710",1,0
"711",0,1
"712",0,1
"713",0,0
"714",0,1
"715",1,1
"716",0,0
"717",1,1
"718",0,0
"719",1,0
"71",23,17
"720",0,0
"721",3,1
"722",0,0
"723",0,1
"724",1,0
"725",1,0
"726",0,0
"727",0,0
"728",0,0
"729",0,0
"72",15,32
"730",1,1
"731",1,0
"732",1,0
"733",1,0
"734",0,0
"735",1,0
"736",0,0
"737",0,1
"738",0,0
"739",0,0
"73",17,21
"740",0,1
"741",0,0
"742",0,0
"743",0,0
"744",0,0
"745",0,0
"746",0,1
"747",0,0
"748",0,1
"749",0,0
"74",9,15
"750",0,0
"751",0,0
"752",0,0
"753",0,0
"754",0,0
"755",1,0
"756",0,0
"757",0,0
"758",0,1
"759",0,0
"75",12,19
"760",0,0
"761",0,0
"762",0,0
"763",0,0
"764",0,0
"765",0,0
"766",0,0
"767",1,0
"768",0,0
"769",0,0
"76",15,10
"770",0,0
"771",0,0
"772",1,0
"773",0,0
"774",0,0
"775",0,0
"776",0,0
"777",0,0
"778",0,0
"779",1,0
"77",10,13
"780",0,0
"781",0,0
"782",0,0
"78",7,15
"79",5,23
"80",15,20
"81",4,3
"82",12,23
"83",12,10
"84",4,5
"85",7,6
"86",10,11
"87",35,46
"88",11,8
"89",14,31
"90",14,10
"91",22,29
"93",12,4
"94",13,9
"95",14,8
"96",2,7
"97",7,3
"98",10,4
"99",9,4
